horsepower,curb-weight,make,engine-size,body-style,drive-wheels,highway-mpg,price,length,width,city-mpg,bore,wheel-base
76,2024,honda,92,wagon,fwd,34,7295.0,0.754925516578568,0.8875,30,2.92,96.5
86,2236,honda,110,hatchback,fwd,33,7895.0,0.8049014896684287,0.9055555555555556,27,3.15,96.5
86,2289,honda,110,hatchback,fwd,33,9095.0,0.8049014896684287,0.9055555555555556,27,3.15,96.5
86,2304,honda,110,sedan,fwd,33,8845.0,0.8428640076886112,0.9055555555555556,27,3.15,96.5
86,2372,honda,110,sedan,fwd,33,10295.0,0.8428640076886112,0.8680555555555556,27,3.15,96.5
101,2465,honda,110,sedan,fwd,28,12945.0,0.8428640076886112,0.9055555555555556,24,3.15,96.5
100,2293,honda,110,sedan,fwd,31,10345.0,0.8125901009130225,0.9166666666666666,25,3.15,96.5
78,2337,isuzu,111,sedan,rwd,29,6785.0,0.8202787121576165,0.8583333333333333,24,3.31,94.3
90,2734,isuzu,119,hatchback,rwd,29,11048.0,0.8294089380105718,0.9055555555555556,24,3.43,96.0
176,4066,jaguar,258,sedan,rwd,19,32250.0,0.9591542527630946,0.9666666666666666,15,3.63,113.0
176,4066,jaguar,258,sedan,rwd,19,35550.0,0.9591542527630946,0.9666666666666666,15,3.63,113.0
262,3950,jaguar,326,sedan,rwd,17,36000.0,0.921191734742912,0.9805555555555555,13,3.54,102.0
68,1890,mazda,91,hatchback,fwd,31,5195.0,0.7645362806343105,0.8916666666666667,30,3.03,93.1
68,1900,mazda,91,hatchback,fwd,38,6095.0,0.7645362806343105,0.8916666666666667,31,3.03,93.1
68,1905,mazda,91,hatchback,fwd,38,6795.0,0.7645362806343105,0.8916666666666667,31,3.03,93.1
68,1945,mazda,91,sedan,fwd,38,6695.0,0.8015377222489188,0.8916666666666667,31,3.03,93.1
68,1950,mazda,91,sedan,fwd,38,7395.0,0.8015377222489188,0.8916666666666667,31,3.08,93.1
101,2380,mazda,70,hatchback,rwd,23,10945.0,0.8121095627102355,0.9125000000000001,17,3.3297512437810943,95.3
101,2380,mazda,70,hatchback,rwd,23,11845.0,0.8121095627102355,0.9125000000000001,17,3.3297512437810943,95.3
101,2385,mazda,70,hatchback,rwd,23,13645.0,0.8121095627102355,0.9125000000000001,17,3.3297512437810943,95.3
135,2500,mazda,80,hatchback,rwd,23,15645.0,0.8121095627102355,0.9125000000000001,16,3.3297512437810943,95.3
84,2385,mazda,122,hatchback,fwd,32,8845.0,0.8543969245555022,0.9236111111111112,26,3.39,98.8
84,2410,mazda,122,sedan,fwd,32,8495.0,0.8543969245555022,0.9236111111111112,26,3.39,98.8
84,2385,mazda,122,hatchback,fwd,32,10595.0,0.8543969245555022,0.9236111111111112,26,3.39,98.8
84,2410,mazda,122,sedan,fwd,32,10245.0,0.8543969245555022,0.9236111111111112,26,3.39,98.8
64,2443,mazda,122,sedan,fwd,42,10795.0,0.8543969245555022,0.9236111111111112,36,3.39,98.8
84,2425,mazda,122,hatchback,fwd,32,11245.0,0.8543969245555022,0.9236111111111112,26,3.39,98.8
120,2670,mazda,140,sedan,rwd,27,18280.0,0.8409418548774628,0.9180555555555555,19,3.76,104.9
72,2700,mazda,134,sedan,rwd,39,18344.0,0.8409418548774628,0.9180555555555555,31,3.43,104.9
123,3515,mercedes-benz,183,sedan,rwd,25,25552.0,0.9173474291206152,0.9763888888888889,22,3.58,110.0
123,3750,mercedes-benz,183,wagon,rwd,25,28248.0,0.9173474291206152,0.9763888888888889,22,3.58,110.0
123,3495,mercedes-benz,183,hardtop,rwd,25,28176.0,0.9010091302258529,0.9763888888888889,22,3.58,106.7
123,3770,mercedes-benz,183,sedan,rwd,25,31600.0,0.9735703988467083,0.9958333333333333,22,3.58,115.6
155,3740,mercedes-benz,234,sedan,rwd,18,34184.0,0.9735703988467083,0.9958333333333333,16,3.46,115.6
155,3685,mercedes-benz,234,convertible,rwd,18,35056.0,0.8664103796251803,0.9791666666666666,16,3.46,96.6
184,3900,mercedes-benz,308,sedan,rwd,16,40960.0,1.0,0.9958333333333333,14,3.8,120.9
184,3715,mercedes-benz,304,hardtop,rwd,16,45400.0,0.9572320999519461,1.0,14,3.8,112.0
175,2910,mercury,140,hatchback,rwd,24,16503.0,0.857280153772225,0.9444444444444444,19,3.78,102.7
68,1918,mitsubishi,92,hatchback,fwd,41,5389.0,0.7558865929841423,0.8944444444444445,37,2.97,93.7
68,1944,mitsubishi,92,hatchback,fwd,38,6189.0,0.7558865929841423,0.8944444444444445,31,2.97,93.7
68,2004,mitsubishi,92,hatchback,fwd,38,6669.0,0.7558865929841423,0.8944444444444445,31,2.97,93.7
102,2145,mitsubishi,98,hatchback,fwd,30,7689.0,0.7558865929841423,0.8861111111111111,24,3.03,93.0
116,2370,mitsubishi,110,hatchback,fwd,30,9959.0,0.8313310908217203,0.9083333333333334,23,3.17,96.3
88,2328,mitsubishi,122,hatchback,fwd,32,8499.0,0.8313310908217203,0.9083333333333334,25,3.35,96.3
145,2833,mitsubishi,156,hatchback,fwd,24,12629.0,0.8322921672272945,0.9208333333333333,19,3.58,95.9
145,2921,mitsubishi,156,hatchback,fwd,24,14869.0,0.8322921672272945,0.9208333333333333,19,3.59,95.9
145,2926,mitsubishi,156,hatchback,fwd,24,14489.0,0.8322921672272945,0.9208333333333333,19,3.59,95.9
88,2365,mitsubishi,122,sedan,fwd,32,6989.0,0.8284478616049976,0.9083333333333334,25,3.35,96.3
88,2405,mitsubishi,122,sedan,fwd,32,8189.0,0.8284478616049976,0.9083333333333334,25,3.35,96.3
116,2403,mitsubishi,110,sedan,fwd,30,9279.0,0.8284478616049976,0.9083333333333334,23,3.17,96.3
116,2403,mitsubishi,110,sedan,fwd,30,9279.0,0.8284478616049976,0.9083333333333334,23,3.17,96.3
69,1889,nissan,97,sedan,fwd,37,5499.0,0.794329649207112,0.8861111111111111,31,3.15,94.5
55,2017,nissan,103,sedan,fwd,50,7099.0,0.794329649207112,0.8861111111111111,45,2.99,94.5
69,1918,nissan,97,sedan,fwd,37,6649.0,0.794329649207112,0.8861111111111111,31,3.15,94.5
69,1938,nissan,97,sedan,fwd,37,6849.0,0.794329649207112,0.8861111111111111,31,3.15,94.5
69,2024,nissan,97,wagon,fwd,37,7349.0,0.8178760211436809,0.8861111111111111,31,3.15,94.5
69,1951,nissan,97,sedan,fwd,37,7299.0,0.794329649207112,0.8861111111111111,31,3.15,94.5
69,2028,nissan,97,hatchback,fwd,37,7799.0,0.7957712638154734,0.8861111111111111,31,3.15,94.5
69,1971,nissan,97,sedan,fwd,37,7499.0,0.794329649207112,0.8861111111111111,31,3.15,94.5
69,2037,nissan,97,wagon,fwd,37,7999.0,0.8178760211436809,0.8861111111111111,31,3.15,94.5
69,2008,nissan,97,hardtop,fwd,37,8249.0,0.7803940413262855,0.8861111111111111,31,3.15,95.1
97,2324,nissan,120,hatchback,fwd,34,8949.0,0.8332532436328689,0.9055555555555556,27,3.33,97.2
97,2302,nissan,120,sedan,fwd,34,9549.0,0.8332532436328689,0.9055555555555556,27,3.33,97.2
152,3095,nissan,181,sedan,fwd,22,13499.0,0.8731379144641999,0.9236111111111112,17,3.43,100.4
152,3296,nissan,181,wagon,fwd,22,14399.0,0.8870735223450265,0.9236111111111112,17,3.43,100.4
152,3060,nissan,181,sedan,fwd,25,13499.0,0.8870735223450265,0.9236111111111112,19,3.43,100.4
160,3071,nissan,181,hatchback,rwd,25,17199.0,0.8202787121576165,0.9430555555555556,19,3.43,91.3
200,3139,nissan,181,hatchback,rwd,23,19699.0,0.8202787121576165,0.9430555555555556,17,3.43,91.3
160,3139,nissan,181,hatchback,rwd,25,18399.0,0.857760691975012,0.9430555555555556,19,3.43,99.2
97,3020,peugot,120,sedan,rwd,24,11900.0,0.897164824603556,0.9500000000000001,19,3.46,107.9
95,3197,peugot,152,sedan,rwd,33,13200.0,0.897164824603556,0.9500000000000001,28,3.7,107.9
97,3230,peugot,120,wagon,rwd,24,12440.0,0.9557904853435849,0.9500000000000001,19,3.46,114.2
95,3430,peugot,152,wagon,rwd,25,13860.0,0.9557904853435849,0.9500000000000001,25,3.7,114.2
95,3075,peugot,120,sedan,rwd,24,15580.0,0.897164824603556,0.9500000000000001,19,3.46,107.9
95,3252,peugot,152,sedan,rwd,33,16900.0,0.897164824603556,0.9500000000000001,28,3.7,107.9
95,3285,peugot,120,wagon,rwd,24,16695.0,0.9557904853435849,0.9500000000000001,19,3.46,114.2
95,3485,peugot,152,wagon,rwd,25,17075.0,0.9557904853435849,0.9500000000000001,25,3.7,114.2
97,3075,peugot,120,sedan,rwd,24,16630.0,0.897164824603556,0.9500000000000001,19,3.46,107.9
95,3252,peugot,152,sedan,rwd,33,17950.0,0.897164824603556,0.9500000000000001,28,3.7,107.9
142,3130,peugot,134,sedan,rwd,24,18150.0,0.897164824603556,0.9486111111111111,18,3.61,108.0
68,1918,plymouth,90,hatchback,fwd,41,5572.0,0.7558865929841423,0.8861111111111111,37,2.97,93.7
102,2128,plymouth,98,hatchback,fwd,30,7957.0,0.7558865929841423,0.8861111111111111,24,3.03,93.7
68,1967,plymouth,90,hatchback,fwd,38,6229.0,0.7558865929841423,0.8861111111111111,31,2.97,93.7
68,1989,plymouth,90,sedan,fwd,38,6692.0,0.8039404132628545,0.8861111111111111,31,2.97,93.7
68,2191,plymouth,98,sedan,fwd,38,7609.0,0.8039404132628545,0.8861111111111111,31,2.97,93.7
88,2535,plymouth,122,wagon,fwd,30,8921.0,0.8390197020663143,0.8972222222222221,24,3.35,103.3
145,2818,plymouth,156,hatchback,rwd,24,12764.0,0.8322921672272945,0.9208333333333333,19,3.59,95.9
143,2778,porsche,151,hatchback,rwd,27,22018.0,0.8116290245074483,0.9486111111111111,19,3.94,94.5
207,2756,porsche,194,hardtop,rwd,25,32528.0,0.8116290245074483,0.9027777777777778,17,3.74,89.5
207,2756,porsche,194,hardtop,rwd,25,34028.0,0.8116290245074483,0.9027777777777778,17,3.74,89.5
207,2800,porsche,194,convertible,rwd,25,37028.0,0.8116290245074483,0.9027777777777778,17,3.74,89.5
104,2579,renault,132,wagon,fwd,31,9295.0,0.8721768380586257,0.9236111111111112,23,3.46,96.1
104,2460,renault,132,hatchback,fwd,31,9895.0,0.849591542527631,0.9249999999999999,23,3.46,96.1
110,2658,saab,121,hatchback,fwd,28,11850.0,0.8966842864007688,0.9236111111111112,21,3.54,99.1
110,2695,saab,121,sedan,fwd,28,12170.0,0.8966842864007688,0.9236111111111112,21,3.54,99.1
110,2707,saab,121,hatchback,fwd,28,15040.0,0.8966842864007688,0.9236111111111112,21,2.54,99.1
110,2758,saab,121,sedan,fwd,28,15510.0,0.8966842864007688,0.9236111111111112,21,3.54,99.1
160,2808,saab,121,hatchback,fwd,26,18150.0,0.8966842864007688,0.9236111111111112,19,3.54,99.1
160,2847,saab,121,sedan,fwd,26,18620.0,0.8966842864007688,0.9236111111111112,19,3.54,99.1
69,2050,subaru,97,hatchback,fwd,36,5118.0,0.7539644401729938,0.8805555555555555,31,3.62,93.7
73,2120,subaru,108,hatchback,fwd,31,7053.0,0.758769822200865,0.8833333333333333,26,3.62,93.7
73,2240,subaru,108,hatchback,4wd,31,7603.0,0.7558865929841423,0.8861111111111111,26,3.62,93.3
82,2145,subaru,108,sedan,fwd,37,7126.0,0.8265257087938491,0.9083333333333334,32,3.62,97.2
82,2190,subaru,108,sedan,fwd,33,7775.0,0.8265257087938491,0.9083333333333334,28,3.62,97.2
94,2340,subaru,108,sedan,fwd,32,9960.0,0.8265257087938491,0.9083333333333334,26,3.62,97.2
82,2385,subaru,108,sedan,4wd,25,9233.0,0.8265257087938491,0.9083333333333334,24,3.62,97.0
111,2510,subaru,108,sedan,4wd,29,11259.0,0.8265257087938491,0.9083333333333334,24,3.62,97.0
82,2290,subaru,108,wagon,fwd,32,7463.0,0.8337337818356559,0.9083333333333334,28,3.62,97.0
94,2455,subaru,108,wagon,fwd,31,10198.0,0.8337337818356559,0.9083333333333334,25,3.62,97.0
82,2420,subaru,108,wagon,4wd,29,8013.0,0.8342143200384431,0.9083333333333334,23,3.62,96.9
111,2650,subaru,108,wagon,4wd,23,11694.0,0.8342143200384431,0.9083333333333334,23,3.62,96.9
62,1985,toyota,92,hatchback,fwd,39,5348.0,0.762614127823162,0.8833333333333333,35,3.05,95.7
62,2040,toyota,92,hatchback,fwd,38,6338.0,0.762614127823162,0.8833333333333333,31,3.05,95.7
62,2015,toyota,92,hatchback,fwd,38,6488.0,0.762614127823162,0.8833333333333333,31,3.05,95.7
62,2280,toyota,92,wagon,fwd,37,6918.0,0.8154733301297453,0.8833333333333333,31,3.05,95.7
62,2290,toyota,92,wagon,4wd,32,7898.0,0.8154733301297453,0.8833333333333333,27,3.05,95.7
62,3110,toyota,92,wagon,4wd,32,8778.0,0.8154733301297453,0.8833333333333333,27,3.05,95.7
70,2081,toyota,98,sedan,fwd,37,6938.0,0.7991350312349833,0.8944444444444445,30,3.19,95.7
70,2109,toyota,98,hatchback,fwd,37,7198.0,0.7991350312349833,0.8944444444444445,30,3.19,95.7
56,2275,toyota,110,sedan,fwd,36,7898.0,0.7991350312349833,0.8944444444444445,34,3.27,95.7
56,2275,toyota,110,hatchback,fwd,47,7788.0,0.7991350312349833,0.8944444444444445,38,3.27,95.7
70,2094,toyota,98,sedan,fwd,47,7738.0,0.7991350312349833,0.8944444444444445,38,3.19,95.7
70,2122,toyota,98,hatchback,fwd,34,8358.0,0.7991350312349833,0.8944444444444445,28,3.19,95.7
70,2140,toyota,98,sedan,fwd,34,9258.0,0.7991350312349833,0.8944444444444445,28,3.19,95.7
70,2169,toyota,98,sedan,rwd,34,8058.0,0.810667948101874,0.8888888888888888,29,3.19,94.5
70,2204,toyota,98,hatchback,rwd,34,8238.0,0.810667948101874,0.8888888888888888,29,3.19,94.5
112,2265,toyota,98,sedan,rwd,29,9298.0,0.810667948101874,0.8888888888888888,26,3.24,94.5
112,2300,toyota,98,hatchback,rwd,29,9538.0,0.810667948101874,0.8888888888888888,26,3.24,94.5
116,2540,toyota,146,hardtop,rwd,30,8449.0,0.8467083133109082,0.911111111111111,24,3.62,98.4
116,2536,toyota,146,hardtop,rwd,30,9639.0,0.8467083133109082,0.911111111111111,24,3.62,98.4
116,2551,toyota,146,hatchback,rwd,30,9989.0,0.8467083133109082,0.911111111111111,24,3.62,98.4
116,2679,toyota,146,hardtop,rwd,30,11199.0,0.8467083133109082,0.911111111111111,24,3.62,98.4
116,2714,toyota,146,hatchback,rwd,30,11549.0,0.8467083133109082,0.911111111111111,24,3.62,98.4
116,2975,toyota,146,convertible,rwd,30,17669.0,0.8467083133109082,0.911111111111111,24,3.62,98.4
92,2326,toyota,122,sedan,fwd,34,8948.0,0.8438250840941854,0.9236111111111112,29,3.31,102.4
73,2480,toyota,110,sedan,fwd,33,10698.0,0.8438250840941854,0.9236111111111112,30,3.27,102.4
92,2414,toyota,122,hatchback,fwd,32,9988.0,0.8438250840941854,0.9236111111111112,27,3.31,102.4
92,2414,toyota,122,sedan,fwd,32,10898.0,0.8438250840941854,0.9236111111111112,27,3.31,102.4
92,2458,toyota,122,hatchback,fwd,32,11248.0,0.8438250840941854,0.9236111111111112,27,3.31,102.4
161,2976,toyota,171,hatchback,rwd,24,16558.0,0.8817876021143681,0.9402777777777778,20,3.27,102.9
161,3016,toyota,171,hatchback,rwd,24,15998.0,0.8817876021143681,0.9402777777777778,19,3.27,102.9
156,3131,toyota,171,sedan,rwd,24,15690.0,0.9024507448342144,0.9236111111111112,20,3.27,104.5
156,3151,toyota,161,wagon,rwd,24,15750.0,0.9024507448342144,0.9236111111111112,19,3.27,104.5
52,2261,volkswagen,97,sedan,fwd,46,7775.0,0.8250840941854877,0.9097222222222222,37,3.01,97.3
85,2209,volkswagen,109,sedan,fwd,34,7975.0,0.8250840941854877,0.9097222222222222,27,3.19,97.3
52,2264,volkswagen,97,sedan,fwd,46,7995.0,0.8250840941854877,0.9097222222222222,37,3.01,97.3
85,2212,volkswagen,109,sedan,fwd,34,8195.0,0.8250840941854877,0.9097222222222222,27,3.19,97.3
85,2275,volkswagen,109,sedan,fwd,34,8495.0,0.8250840941854877,0.9097222222222222,27,3.19,97.3
68,2319,volkswagen,97,sedan,fwd,42,9495.0,0.8250840941854877,0.9097222222222222,37,3.01,97.3
100,2300,volkswagen,109,sedan,fwd,32,9995.0,0.8250840941854877,0.9097222222222222,26,3.19,97.3
90,2254,volkswagen,109,convertible,fwd,29,11595.0,0.7654973570398848,0.8916666666666667,24,3.19,94.5
90,2221,volkswagen,109,hatchback,fwd,29,9980.0,0.7962518020182604,0.8888888888888888,24,3.19,94.5
110,2661,volkswagen,136,sedan,fwd,24,13295.0,0.865929841422393,0.9291666666666667,19,3.19,100.4
68,2579,volkswagen,97,sedan,fwd,38,13845.0,0.865929841422393,0.9291666666666667,33,3.01,100.4
88,2563,volkswagen,109,wagon,fwd,31,12290.0,0.8798654493032196,0.9291666666666667,25,3.19,100.4
114,2912,volvo,141,sedan,rwd,28,12940.0,0.9072561268620856,0.9333333333333333,23,3.78,104.3
114,3034,volvo,141,wagon,rwd,28,13415.0,0.9072561268620856,0.9333333333333333,23,3.78,104.3
114,2935,volvo,141,sedan,rwd,28,15985.0,0.9072561268620856,0.9333333333333333,24,3.78,104.3
114,3042,volvo,141,wagon,rwd,28,16515.0,0.9072561268620856,0.9333333333333333,24,3.78,104.3
162,3045,volvo,130,sedan,rwd,22,18420.0,0.9072561268620856,0.9333333333333333,17,3.62,104.3
162,3157,volvo,130,wagon,rwd,22,18950.0,0.9072561268620856,0.9333333333333333,17,3.62,104.3
114,2952,volvo,141,sedan,rwd,28,16845.0,0.9072561268620856,0.9569444444444445,23,3.78,109.1
160,3049,volvo,141,sedan,rwd,25,19045.0,0.9072561268620856,0.9555555555555555,19,3.78,109.1
134,3012,volvo,173,sedan,rwd,23,21485.0,0.9072561268620856,0.9569444444444445,18,3.58,109.1
106,3217,volvo,145,sedan,rwd,27,22470.0,0.9072561268620856,0.9569444444444445,26,3.01,109.1
114,3062,volvo,141,sedan,rwd,25,22625.0,0.9072561268620856,0.9569444444444445,19,3.78,109.1
